id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1032098691891526433,Studio in Heart of New Orleans,83319766,Jean,,Seventh Ward,29.96892,-90.06571,Entire home/apt,51,1,13,2024-05-21,1.41,4,66,13,"20-RSTR-26664, 23-OSTR-04130"
18361585,Mid-City Homestead,2691220,Stefin,,Seventh Ward,29.97782,-90.07541,Entire home/apt,,30,1,2017-05-06,0.01,1,0,0,
1122266028117978923,2BR Condo with Rooftop Serenity,561292944,Common Street,,Central Business District,29.953888,-90.072414,Entire home/apt,116,1,11,2024-08-12,2.80,54,317,11,23-XSTR-21621
579868175837579749,Mid-City 'live-like-a-NOLA-local' artist charmer!,82501714,Ashlea,,Mid-City,29.970375,-90.105659,Private room,,30,11,2023-02-19,0.37,2,0,0,Exempt
2180692,Walk / Bike to French Quarter and Jazz Fest 1,3725969,April,,Treme - Lafitte,29.97029,-90.07163,Entire home/apt,96,2,592,2024-08-20,4.59,2,102,45,"22-rstr-11531, 22-ostr-11373"
16027956,"Private Hot Tub, Patio, & Grill, 3BR/3BA, Pool",45441871,The Natchez,,Central Business District,29.94981,-90.06865,Entire home/apt,335,1,94,2024-09-02,1.01,12,216,17,23-XSTR-21471
35457749,The Cozy Canary Cottage - Blocks From Downtown,266772962,Elizabeth,,Lower Garden District,29.93463,-90.07207,Entire home/apt,,1,216,2024-07-03,3.46,1,0,17,"19str-10477, 19-OSTR-0000"
35576172,Bywater Haven,267671075,Jamie,,St. Claude,29.96371,-90.03485,Entire home/apt,,30,38,2019-12-15,0.60,1,0,0,19STR-10016
26160532,Cottage #1,98693456,James,,Marigny,29.96802,-90.06096,Entire home/apt,,30,69,2019-12-01,0.91,4,0,0,
580784982807918745,"Private loft studio near bayou, Jazzfest, CityPark",42806588,Whitney,,Seventh Ward,29.97651394720919,-90.07352578608244,Private room,,2,1,2024-02-11,0.14,1,0,1,"22RSTR-10890, 22OSTR-11607"
1188195203891109144,Elegant Condo near French Quarter,585802778,Tigran,,Central Business District,29.95499,-90.074063,Entire home/apt,131,1,1,2024-08-18,1,61,267,1,24-XSTR-08058
28869057,PREMIERE TOURO HOME 3.6 MILES FROM FRENCH QUARTER,20571025,Trevail,,Dillard,30.0017,-90.0609,Entire home/apt,399,30,88,2022-11-13,1.23,1,270,0,"18STR-04763, 20-OSTR-0169"
41403036,NEW 3-Bedroom Home 3.5 miles to French Quarter!,325578648,Kenneth,,Dillard,30.00388,-90.06492,Entire home/apt,147,1,50,2024-03-12,0.89,3,361,4,"19STR-24698, 20-OSTR-02121"
49128136,Sonder at The Vitascope | Two-Bedroom Apartment,218602737,Sonder (New Orleans),,Central Business District,29.95276,-90.06931,Entire home/apt,155,1,223,2024-08-08,5.38,30,277,57,23-XSTR-21556
26161854,Cottage #2,98693456,James,,Marigny,29.96596,-90.06167,Entire home/apt,,30,60,2019-12-01,0.79,4,0,0,
35766268,Grenoble House Grand King Suite,268586331,Vic,,French Quarter,29.95582,-90.06859,Hotel room,,30,117,2024-08-27,1.87,7,106,70,23-XSTR-21515
18328680,Treme Bungalow,126807110,Jason,,Treme - Lafitte,29.96987,-90.07105,Entire home/apt,,30,300,2023-08-07,3.35,1,0,0,"19STR-16593, 20-OSTR-0103"
35794095,Grenoble House Executive King Suite,268586331,Vic,,French Quarter,29.95619,-90.07007,Hotel room,,30,88,2024-07-26,1.44,7,112,22,23-XSTR-21515
970151965002702990,NOLA Charm: Luxury 4-Bed Retreat Steps from FQ,442915263,Hosteeva California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,249,1,30,2024-09-03,2.78,71,331,30,24-XSTR-08058
566664029653501937,"Cozy, clean 2-bedroom home in Algiers",86213296,Mallory,,Behrman,29.94105,-90.02505,Entire home/apt,,30,23,2023-07-19,0.95,1,0,0,"22-RSTR-07684, 22-OSTR-07676"
